split,method,unknown_known_fpr_target,screening_auroc_test,tpr_defect,fpr_normal,tpr_unknown_within_defect,fpr_known_as_unknown,acc_3way,macro_f1_3way
split_a,global_mahalanobis,0.05,0.804976,0.392453,0.065714,0.086667,0.108696,0.5125,0.426951
split_a,one_class_svm_rbf,0.1,0.695876,0.339623,0.077143,0.15,0.147826,0.494318,0.414415
split_a,global_knn,0.15,0.72227,0.316981,0.094286,0.186667,0.143478,0.486364,0.408562
split_a,isolation_forest,0.2,0.582868,0.198113,0.091429,0.09,0.086957,0.455682,0.362501
split_a,energy_score,0.05,0.456307,0.049057,0.102857,0,0.004348,0.384091,0.234207
split_a,class_conditional_mahalanobis,0.05,0.312194,0.013208,0.12,0.023333,0,0.357955,0.189065
split_b,global_mahalanobis,0.2,0.808279,0.527559,0.1,0.44,0.120192,0.620047,0.58468
split_b,global_knn,0.2,0.788408,0.48622,0.134286,0.34,0.139423,0.587413,0.556677
split_b,one_class_svm_rbf,0.2,0.716119,0.438976,0.082857,0.31,0.115385,0.583916,0.541627
split_b,isolation_forest,0.2,0.749741,0.399606,0.08,0.3,0.115385,0.55711,0.500032
split_b,energy_score,0.2,0.368009,0.104331,0.131429,0.116667,0.009615,0.40676,0.276677
split_b,class_conditional_mahalanobis,0.05,0.424544,0.057087,0.082857,0.096667,0,0.407925,0.244851
split_c,global_mahalanobis,0.15,0.606391,0.215645,0.088571,0.082051,0.118705,0.466586,0.338442
split_c,one_class_svm_rbf,0.2,0.61547,0.234672,0.082857,0.123077,0.122302,0.456865,0.327812
split_c,global_knn,0.2,0.647037,0.232558,0.085714,0.123077,0.136691,0.454435,0.324955
split_c,isolation_forest,0.15,0.514769,0.141649,0.117143,0.015385,0.043165,0.441069,0.294595
split_c,energy_score,0.15,0.603038,0.090909,0.108571,0.025641,0.032374,0.420413,0.262464
split_c,class_conditional_mahalanobis,0.05,0.263401,0.006342,0.108571,0,0.010791,0.379101,0.183746
split_d,one_class_svm_rbf,0.1,0.466339,0.122047,0.051429,0.02,0.0625,0.437063,0.300454
split_d,global_mahalanobis,0.1,0.481316,0.122047,0.065714,0.023333,0.076923,0.43007,0.294991
split_d,global_knn,0.2,0.550433,0.133858,0.062857,0.04,0.125,0.425408,0.283359
split_d,isolation_forest,0.1,0.439983,0.102362,0.082857,0.026667,0.024038,0.41958,0.281803
split_d,energy_score,0.05,0.588836,0.07874,0.114286,0,0,0.386946,0.234141
split_d,class_conditional_mahalanobis,0.05,0.273751,0.007874,0.082857,0.006667,0.009615,0.376457,0.186514
