split,fpr_target,AUROC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_def@FPR,FPR_normal_realized,two_stage_known_success,two_stage_unknown_success,stage2_unknown_rate_known_all,stage2_unknown_rate_unknown_all,tau_stage1,kappa_stage2
split_a,0.05,0.5788714499252616,0.4910313901345291,0.8379629629629629,0.16521739130434782,0.35,0.1391304347826087,0.004629629629629629,0.08695652173913043,0.023148148148148147,2.0212424039840697,0.6824848294258118
split_a,0.1,0.5788714499252616,0.5582959641255605,0.9027777777777778,0.23478260869565218,0.45666666666666667,0.2,0.004629629629629629,0.08695652173913043,0.023148148148148147,1.976154863834381,0.6824848294258118
split_a,0.15,0.5788714499252616,0.6591928251121076,0.9722222222222222,0.3652173913043478,0.58,0.3,0.013888888888888888,0.08695652173913043,0.023148148148148147,1.9169656574726106,0.6824848294258118
split_a,0.2,0.5788714499252616,0.6905829596412556,0.9861111111111112,0.41304347826086957,0.66,0.3217391304347826,0.018518518518518517,0.08695652173913043,0.023148148148148147,1.881130838394165,0.6824848294258118
split_b,0.05,0.5671784776902888,0.3779527559055118,0.38666666666666666,0.36538461538461536,0.24333333333333335,0.3605769230769231,0.09333333333333334,0.07692307692307693,0.2866666666666667,2.023892915248871,0.7645958065986633
split_b,0.1,0.5671784776902888,0.4566929133858268,0.47,0.4375,0.37,0.4182692307692308,0.11333333333333333,0.07692307692307693,0.2866666666666667,1.9675259351730348,0.7645958065986633
split_b,0.15,0.5671784776902888,0.5610236220472441,0.5766666666666667,0.5384615384615384,0.49333333333333335,0.5144230769230769,0.14666666666666667,0.07692307692307693,0.2866666666666667,1.9176496744155884,0.7645958065986633
split_b,0.2,0.5671784776902888,0.610236220472441,0.6233333333333333,0.5913461538461539,0.5633333333333334,0.5673076923076923,0.16666666666666666,0.07692307692307693,0.2866666666666667,1.8713003396987915,0.7645958065986633
split_c,0.05,0.5128760162601625,0.3597560975609756,0.18,0.3920863309352518,0.30666666666666664,0.30935251798561153,0.02,0.17625899280575538,0.1,2.0731133103370665,0.7097178220748901
split_c,0.1,0.5128760162601625,0.5060975609756098,0.22,0.5575539568345323,0.49666666666666665,0.4316546762589928,0.04,0.17625899280575538,0.1,1.9801324725151062,0.7097178220748901
split_c,0.15,0.5128760162601625,0.573170731707317,0.28,0.6258992805755396,0.6333333333333333,0.4748201438848921,0.04,0.17625899280575538,0.1,1.9231866419315338,0.7097178220748901
split_c,0.2,0.5128760162601625,0.6310975609756098,0.36,0.6798561151079137,0.69,0.5143884892086331,0.04,0.17625899280575538,0.1,1.884352469444275,0.7097178220748901
split_d,0.05,0.4730774278215223,0.1515748031496063,0.006666666666666667,0.3605769230769231,0.12,0.3269230769230769,0.006666666666666667,0.14423076923076922,0.3933333333333333,2.119189453125,0.6690849959850311
split_d,0.1,0.4730774278215223,0.20669291338582677,0.03666666666666667,0.4519230769230769,0.19666666666666666,0.3942307692307692,0.023333333333333334,0.14423076923076922,0.3933333333333333,2.068543219566345,0.6690849959850311
split_d,0.15,0.4730774278215223,0.2874015748031496,0.09333333333333334,0.5673076923076923,0.34,0.4855769230769231,0.04666666666666667,0.14423076923076922,0.3933333333333333,2.0007487535476685,0.6690849959850311
split_d,0.2,0.4730774278215223,0.36023622047244097,0.16666666666666666,0.6394230769230769,0.43333333333333335,0.5384615384615384,0.07333333333333333,0.14423076923076922,0.3933333333333333,1.956699585914612,0.6690849959850311
