method_system,split,fpr_target,AUROC_defect_screening,AUPRC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_unknown@FPR,FPR_normal_realized,Specificity_normal,FalseAlarms_per_100,acc_3way,balanced_acc_3way,macro_precision_3way,macro_recall_3way,macro_f1_3way,cm_3way,train_sec,infer_sec_total_test,infer_sec_per_image,total_split_sec,notes
two_stage_cflow,split_a,0.05,0.5788714499252616,0.6792740434489488,0.4910313901345291,0.004629629629629629,0.008695652173913044,0.35,0.65,35.0,0.3109919571045576,0.27038378958668813,0.3025227247001619,0.27038378958668813,0.22665671047652028,"[[195, 105, 0], [192, 36, 2], [35, 180, 1]]",20852.0,0.043578632999469846,5.841639812261374e-05,20852.043578632998,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_a,0.1,0.5788714499252616,0.6792740434489488,0.5582959641255605,0.004629629629629629,0.017391304347826087,0.45666666666666667,0.5433333333333333,45.666666666666664,0.2868632707774799,0.25511808910359635,0.2613371245261009,0.25511808910359635,0.2222184296026599,"[[163, 137, 0], [176, 50, 4], [21, 194, 1]]",20852.0,0.043578632999469846,5.841639812261374e-05,20852.043578632998,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_a,0.15,0.5788714499252616,0.6792740434489488,0.6591928251121076,0.013888888888888888,0.017391304347826087,0.58,0.42000000000000004,57.99999999999999,0.2801608579088472,0.2605716586151368,0.35178154346680696,0.2605716586151368,0.23148015640968655,"[[126, 174, 0], [146, 80, 4], [6, 207, 3]]",20852.0,0.043578632999469846,5.841639812261374e-05,20852.043578632998,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_a,0.2,0.5788714499252616,0.6792740434489488,0.6905829596412556,0.018518518518518517,0.02608695652173913,0.66,0.33999999999999997,66.0,0.2613941018766756,0.248491680085883,0.3348118279569892,0.248491680085883,0.21945169040905163,"[[102, 198, 0], [135, 89, 6], [3, 209, 4]]",20852.0,0.043578632999469846,5.841639812261374e-05,20852.043578632998,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_b,0.05,0.5671784776902888,0.7124086278510765,0.3779527559055118,0.09333333333333334,0.004807692307692308,0.24333333333333335,0.7566666666666666,24.333333333333336,0.4084158415841584,0.403525641025641,0.5671205778950273,0.403525641025641,0.34886779715279753,"[[227, 73, 0], [132, 75, 1], [184, 88, 28]]",20852.0,0.038873665999744844,4.811097277196144e-05,20852.038873666,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_b,0.1,0.5671784776902888,0.7124086278510765,0.4566929133858268,0.11333333333333333,0.019230769230769232,0.37,0.63,37.0,0.38366336633663367,0.3872008547008547,0.5288114522159444,0.3872008547008547,0.34482745518706465,"[[189, 111, 0], [117, 87, 4], [159, 107, 34]]",20852.0,0.038873665999744844,4.811097277196144e-05,20852.038873666,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_b,0.15,0.5671784776902888,0.7124086278510765,0.5610236220472441,0.14666666666666667,0.019230769230769232,0.49333333333333335,0.5066666666666666,49.333333333333336,0.37623762376237624,0.3908547008547009,0.5341731601731602,0.3908547008547009,0.355831170667867,"[[152, 148, 0], [96, 108, 4], [127, 129, 44]]",20852.0,0.038873665999744844,4.811097277196144e-05,20852.038873666,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_b,0.2,0.5671784776902888,0.7124086278510765,0.610236220472441,0.16666666666666666,0.019230769230769232,0.5633333333333334,0.43666666666666665,56.333333333333336,0.3712871287128713,0.39181623931623927,0.5347007392397464,0.39181623931623927,0.35833580623854355,"[[131, 169, 0], [85, 119, 4], [113, 137, 50]]",20852.0,0.038873665999744844,4.811097277196144e-05,20852.038873666,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_c,0.05,0.5128760162601625,0.5765883337502382,0.3597560975609756,0.02,0.0539568345323741,0.30666666666666664,0.6933333333333334,30.666666666666664,0.482484076433121,0.3504876099120704,0.34821457932553973,0.3504876099120704,0.3359984338927731,"[[208, 92, 0], [169, 94, 15], [41, 8, 1]]",20852.0,0.03615953100052138,5.757887101993851e-05,20852.036159531002,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_c,0.1,0.5128760162601625,0.5765883337502382,0.5060975609756098,0.04,0.08633093525179857,0.49666666666666665,0.5033333333333334,49.666666666666664,0.45222929936305734,0.33818545163868907,0.3375461297236284,0.33818545163868907,0.3357905871762563,"[[151, 149, 0], [123, 131, 24], [39, 9, 2]]",20852.0,0.03615953100052138,5.757887101993851e-05,20852.036159531002,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_c,0.15,0.5128760162601625,0.5765883337502382,0.573170731707317,0.04,0.10071942446043165,0.6333333333333333,0.3666666666666667,63.33333333333333,0.410828025477707,0.3106155075939248,0.30873563218390804,0.3106155075939248,0.3054845580404686,"[[110, 190, 0], [104, 146, 28], [36, 12, 2]]",20852.0,0.03615953100052138,5.757887101993851e-05,20852.036159531002,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_c,0.2,0.5128760162601625,0.5765883337502382,0.6310975609756098,0.04,0.1079136690647482,0.69,0.31000000000000005,69.0,0.40445859872611467,0.30731414868105517,0.3044366019148277,0.30731414868105517,0.2974887913010718,"[[93, 207, 0], [89, 159, 30], [32, 16, 2]]",20852.0,0.03615953100052138,5.757887101993851e-05,20852.036159531002,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_d,0.05,0.4730774278215223,0.6329787371027968,0.1515748031496063,0.006666666666666667,0.014423076923076924,0.12,0.88,12.0,0.4183168316831683,0.41094017094017093,0.48217426059152685,0.41094017094017093,0.3331547409872215,"[[264, 36, 0], [133, 72, 3], [298, 0, 2]]",20852.0,0.03514519800000926,4.349653217822928e-05,20852.035145198,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_d,0.1,0.4730774278215223,0.6329787371027968,0.20669291338582677,0.023333333333333334,0.03365384615384615,0.19666666666666666,0.8033333333333333,19.666666666666664,0.4146039603960396,0.4149786324786325,0.4847412008281573,0.4149786324786325,0.34707090905106736,"[[241, 59, 0], [114, 87, 7], [289, 4, 7]]",20852.0,0.03514519800000926,4.349653217822928e-05,20852.035145198,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_d,0.15,0.4730774278215223,0.6329787371027968,0.2874015748031496,0.04666666666666667,0.052884615384615384,0.34,0.6599999999999999,34.0,0.3948019801980198,0.4070299145299145,0.46446401879137306,0.4070299145299145,0.3477128946702141,"[[198, 102, 0], [90, 107, 11], [272, 14, 14]]",20852.0,0.03514519800000926,4.349653217822928e-05,20852.035145198,recomputed from cached stage1/stage2; train_sec user-provided
two_stage_cflow,split_d,0.2,0.4730774278215223,0.6329787371027968,0.36023622047244097,0.07333333333333333,0.0673076923076923,0.43333333333333335,0.5666666666666667,43.333333333333336,0.3849009900990099,0.4040384615384615,0.4613827808773657,0.4040384615384615,0.3497823288039199,"[[170, 130, 0], [75, 119, 14], [250, 28, 22]]",20852.0,0.03514519800000926,4.349653217822928e-05,20852.035145198,recomputed from cached stage1/stage2; train_sec user-provided
