split,fpr_target,AUROC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_def@FPR,FPR_normal_realized,two_stage_known_success,two_stage_unknown_success,stage2_unknown_rate_known_all,stage2_unknown_rate_unknown_all,tau_stage1,kappa_stage2,FPR_known_as_unknown@FPR,method_system,train_sec,infer_sec_total_test,infer_sec_per_image,total_split_sec
split_a,0.05,0.5788714499252616,0.4910313901345291,0.8379629629629629,0.1652173913043478,0.35,0.1391304347826087,0.0046296296296296,0.0869565217391304,0.0231481481481481,2.0212424039840697,0.6824848294258118,0.1652173913043478,two_stage_cflow,,,,
split_a,0.1,0.5788714499252616,0.5582959641255605,0.9027777777777778,0.2347826086956521,0.4566666666666666,0.2,0.0046296296296296,0.0869565217391304,0.0231481481481481,1.976154863834381,0.6824848294258118,0.2347826086956521,two_stage_cflow,,,,
split_a,0.15,0.5788714499252616,0.6591928251121076,0.9722222222222222,0.3652173913043478,0.58,0.3,0.0138888888888888,0.0869565217391304,0.0231481481481481,1.9169656574726104,0.6824848294258118,0.3652173913043478,two_stage_cflow,,,,
split_a,0.2,0.5788714499252616,0.6905829596412556,0.9861111111111112,0.4130434782608695,0.66,0.3217391304347826,0.0185185185185185,0.0869565217391304,0.0231481481481481,1.881130838394165,0.6824848294258118,0.4130434782608695,two_stage_cflow,,,,
split_b,0.05,0.5671784776902888,0.3779527559055118,0.3866666666666666,0.3653846153846153,0.2433333333333333,0.3605769230769231,0.0933333333333333,0.0769230769230769,0.2866666666666667,2.023892915248871,0.7645958065986633,0.3653846153846153,two_stage_cflow,,,,
split_b,0.1,0.5671784776902888,0.4566929133858268,0.47,0.4375,0.37,0.4182692307692308,0.1133333333333333,0.0769230769230769,0.2866666666666667,1.9675259351730348,0.7645958065986633,0.4375,two_stage_cflow,,,,
split_b,0.15,0.5671784776902888,0.5610236220472441,0.5766666666666667,0.5384615384615384,0.4933333333333333,0.5144230769230769,0.1466666666666666,0.0769230769230769,0.2866666666666667,1.9176496744155884,0.7645958065986633,0.5384615384615384,two_stage_cflow,,,,
split_b,0.2,0.5671784776902888,0.610236220472441,0.6233333333333333,0.5913461538461539,0.5633333333333334,0.5673076923076923,0.1666666666666666,0.0769230769230769,0.2866666666666667,1.8713003396987915,0.7645958065986633,0.5913461538461539,two_stage_cflow,,,,
split_c,0.05,0.5128760162601625,0.3597560975609756,0.18,0.3920863309352518,0.3066666666666666,0.3093525179856115,0.02,0.1762589928057553,0.1,2.0731133103370665,0.7097178220748901,0.3920863309352518,two_stage_cflow,,,,
split_c,0.1,0.5128760162601625,0.5060975609756098,0.22,0.5575539568345323,0.4966666666666666,0.4316546762589928,0.04,0.1762589928057553,0.1,1.9801324725151064,0.7097178220748901,0.5575539568345323,two_stage_cflow,,,,
split_c,0.15,0.5128760162601625,0.573170731707317,0.28,0.6258992805755396,0.6333333333333333,0.4748201438848921,0.04,0.1762589928057553,0.1,1.9231866419315335,0.7097178220748901,0.6258992805755396,two_stage_cflow,,,,
split_c,0.2,0.5128760162601625,0.6310975609756098,0.36,0.6798561151079137,0.69,0.5143884892086331,0.04,0.1762589928057553,0.1,1.884352469444275,0.7097178220748901,0.6798561151079137,two_stage_cflow,,,,
split_d,0.05,0.4730774278215223,0.1515748031496063,0.0066666666666666,0.3605769230769231,0.12,0.3269230769230769,0.0066666666666666,0.1442307692307692,0.3933333333333333,2.119189453125,0.6690849959850311,0.3605769230769231,two_stage_cflow,,,,
split_d,0.1,0.4730774278215223,0.2066929133858267,0.0366666666666666,0.4519230769230769,0.1966666666666666,0.3942307692307692,0.0233333333333333,0.1442307692307692,0.3933333333333333,2.068543219566345,0.6690849959850311,0.4519230769230769,two_stage_cflow,,,,
split_d,0.15,0.4730774278215223,0.2874015748031496,0.0933333333333333,0.5673076923076923,0.34,0.4855769230769231,0.0466666666666666,0.1442307692307692,0.3933333333333333,2.0007487535476685,0.6690849959850311,0.5673076923076923,two_stage_cflow,,,,
split_d,0.2,0.4730774278215223,0.3602362204724409,0.1666666666666666,0.6394230769230769,0.4333333333333333,0.5384615384615384,0.0733333333333333,0.1442307692307692,0.3933333333333333,1.956699585914612,0.6690849959850311,0.6394230769230769,two_stage_cflow,,,,
